ItemNum,Description,ScheduleFee
35570,"Anterior vaginal compartment repair by vaginal approach for pelvic organ prolapse: (a) involving repair of urethrocele and cystocele; and (b) using native tissue without graft; other than a service associated with a service to which item 35573, 35577 or 35578 applies (Anaes.) (Assist.)",631
35571,"Posterior vaginal compartment repair by vaginal approach for pelvic organ prolapse: (a) involving repair of one or more of the following: (i) perineum; (ii) rectocoele; (iii) enterocoele; and (b) using native tissue without graft; other than a service associated with a service to which item 35573, 35577 or 35578 applies (Anaes.) (Assist.)",631
35573,Anterior and posterior vaginal compartment repair by vaginal approach for pelvic organ prolapse: (a) involving anterior and posterior compartment defects; and (b) using native tissue without graft; other than a service associated with a service to which item 35577 or 35578 applies (Anaes.) (Assist.),946.55
35578,"Colpocleisis for pelvic organ prolapse, not being a service associated with a service to which another item (other than item 35599) in this Subgroup applies (H) (Anaes.) (Assist.)",768.45
35585,"Abdominal procedure, by open, laparoscopic or robot‑assisted approach, if the service: (a) is for the removal of graft material: (i) in symptomatic patients with graft related complications (including graft related pain or discharge and bleeding related to graft exposure); or (ii) where the graft has penetrated adjacent organs such as the bladder (including urethra) or bowel; and (b) if required—includes retroperitoneal dissection, and mobilisation, of either or both of the bladder and bowel; other than a service associated with a service to which item 35581 or 35582 applies (Anaes.) (Assist.)",1678.25
35595,"Procedure for the management of symptomatic vaginal vault or cervical prolapse, by uterosacral ligament suspension, by any approach, without graft, if the uterosacral ligaments are separately identified, transfixed and then incorporated into rectovaginal and pubocervical fascia of the vaginal vault, including cystoscopy to check ureteric integrity (H) (Anaes.) (Assist.)",711.5
35597,"Sacral colpopexy, by any approach where graft or mesh is secured to vault, anterior and posterior compartments and to sacrum for correction of symptomatic upper vaginal vault prolapse (H) (Anaes.) (Assist.)",1678.25
35599,"Stress incontinence, procedure using a female synthetic mid-urethral sling, with diagnostic cystoscopy to assess the integrity of the lower urinary tract, other than a service associated with a service to which item 36812 applies (H) (Anaes.) (Assist.)",863.4
35609,"Cervix, cone biopsy or amputation (Anaes.)",248.35
35615,"Vulva or vagina, biopsy of, when performed in conjunction with a service to which item 35614 applies",80.2
35616,"Endometrial ablation by thermal balloon or radiofrequency electrosurgery, for abnormal uterine bleeding, with or without endometrial sampling, including any hysteroscopy performed on the same day (H) (Anaes.)",512.15
35622,"Endometrial ablation, using hysteroscopically guided electrosurgery or laser energy for abnormal uterine bleeding, with or without endometrial sampling, not being a service associated with a service to which item 30390 applies (H) (Anaes.)",686.4
35623,"Endometrial ablation and resection of myoma or uterine septum (or both), using hysteroscopic guided electrosurgery or laser energy, for abnormal uterine bleeding, with or without endometrial sampling (H) (Anaes.)",933.35
35626,"Hysteroscopy for investigation of suspected intrauterine pathology, with or without local anaesthesia, including any associated endometrial biopsy, not being a service associated with a service to which item 35630 applies",255.3
35630,"Hysteroscopy for investigation of suspected intrauterine pathology if performed under general anaesthesia, including any associated endometrial biopsy, not being a service associated with a service to which item 35626 applies (H) (Anaes.)",208.5
35631,"Operative laparoscopy, including any of the following:(a) unilateral or bilateral ovarian cystectomy;(b) salpingo-oophorectomy;(c) salpingectomy for tubal pathology (including ectopic pregnancy by tubal removal or salpingostomy, but excluding sterilisation);(d) excision of mild endometriosis;not being a service associated with a service to which any other intraperitoneal or retroperitoneal procedure item (other than item 30724 or 30725) applies (H) (Anaes.) (Assist.)",810.6
35632,"Complicated operative laparoscopy, including either or both of the following:(a) excision of moderate endometriosis;(b) laparoscopic myomectomy for a myoma of at least 4cm, including incision and repair of the uterus;not being a service associated with a service to which any other intraperitoneal or retroperitoneal procedure item (other than item 30724 or 30725 or 35658) applies (H) (Anaes.) (Assist.)",1013.15
35633,"Hysteroscopy, under visual guidance, including any of the following:(a) removal of an intra-uterine device;(b) removal of polyps by any method;(c) division of minor intrauterine adhesions (Anaes.)",248.35
35635,Hysteroscopy involving division of:(a) a uterine septum; or(b) moderate to severe intrauterine adhesions (H) (Anaes.),341.2
35636,"Hysteroscopy, resection of myoma or myoma and uterine septum (if both are performed) (H) (Anaes.)",493.3
35637,"Operative laparoscopy, including any of the following: (a) excision or ablation of minimal endometriosis; (b) division of pathological adhesions; (c) sterilisation by application of clips, division, destruction or removal of tubes; not being a service associated with another laparoscopic procedure (H) NOTE: Strict legal requirements apply in relation to sterilisation procedures on minors. Medicare benefits are not payable for services not rendered in accordance with relevant Commonwealth and State and Territory law. Observe the explanatory note before submitting a claim. (Anaes.) (Assist.)",463.2
35640,"Uterus, curettage of, with or without dilation (including curettage for incomplete miscarriage), if performed under:(a) general anaesthesia; or(b) epidural or spinal (intrathecal) nerve block; or(c) sedation;including procedures (if performed) to which item 35626 or 35630 applies (Anaes.)",208.5
35641,"Severe endometriosis, laparoscopic resection of, involving 2 of the following procedures:(a) resection of the pelvic side wall including dissection of endometriosis or scar tissue from the ureter;(b) resection of the Pouch of Douglas; (c) resection of an ovarian endometrioma greater than 2 cm in diameter;(d) dissection of bowel from uterus from the level of the endocervical junction or above (H) (Anaes.) (Assist.)",1415.7
35643,"Evacuation of the contents of the gravid uterus by curettage or suction curettage, if performed under:(a) local anaesthesia; or(b) general anaesthesia; or(c) epidural or spinal (intrathecal) nerve block; or(d) sedation;including procedures (if performed) to which item 35626 or 35630 applies (Anaes.)",248.35
35647,"Cervix, complete excision of the endocervical transformation zone, using large loop or laser therapy, including any local anaesthesia and biopsies (Anaes.)",232
35648,"Cervix, complete excision of the endocervical transformation zone, using large loop or laser therapy, including any local anaesthesia and biopsies, in conjunction with ablative treatment of additional areas of biopsy-proven high grade intraepithelial lesions of one or more sites of the vagina, vulva, urethra or anus (Anaes.)",363.1
35649,"Myomectomy, one or more myomas, when undertaken by an open abdominal approach (H) (Anaes.) (Assist.)",610.6
35653,"Hysterectomy, abdominal, with or without removal of fallopian tubes and ovaries (H) (Anaes.) (Assist.)",768.7
35657,"Hysterectomy, vaginal, with or without uterine curettage, inclusive of posterior culdoplasty, not being a service associated with a service to which item 35673 applies (H) (Anaes.) (Assist.)",768.7
35661,"Hysterectomy, abdominal, that concurrently requires extensive retroperitoneal dissection with exposure of one or both ureters and complex side wall dissection, including when performed with one or more of the following procedures:(a) salpingectomy;(b) oophorectomy;(c) excision of ovarian cyst(H) (Anaes.) (Assist.)",1921.9
35667,"Radical hysterectomy or radical trachelectomy (with or without excision of uterine adnexae) for proven malignancy, including excision of any one or more of the following:(a) parametrium;(b) paracolpos;(c) upper vagina;(d) contiguous pelvic peritoneum;utilising nerve sparing techniques and involving ureterolysis, if performed (H) (Anaes.) (Assist.)",1815.35
35673,"Hysterectomy, vaginal, with or without uterine curettage, with salpingectomy, oophorectomy or excision of ovarian cyst, one or more, one or both sides, inclusive of a posterior culdoplasty, not being a service associated with a service to which item 35657 applies (H) (Anaes.) (Assist.)",863.3
35717,"Laparotomy, involving oophorectomy, salpingectomy, salpingo-oophorectomy, removal of ovarian, parovarian, fimbrial or broad ligament cyst—one or more such procedures, unilateral or bilateral, including adhesiolysis, for benign disease (including ectopic pregnancy by tubal removal or salpingostomy), not being a service associated with hysterectomy (H) (Anaes.) (Assist.)",971.9
35720,"Radical debulking, involving the radical excision of a macroscopically disseminated gynaecological malignancy from the pelvic cavity, including resection of peritoneum from the following:(a) the pelvic side wall;(b) the pouch of Douglas;(c) the bladder;for macroscopic disease confined to the pelvis, not being a service associated with a service to which item 35721 applies (H) (Anaes.) (Assist.)",1817
